,id_pelanggan,jam_main_mingguan,genre_favorit,pengeluaran_snack,waktu_main_utama,hardware_requirement,vip_lounge_visit,target_membership
0,1,23.1,FPS,22000,Subuh,1,1,0
1,2,4.43,Casual,37000,Sore,0,1,0
2,3,56.37,MOBA,22000,Subuh,1,16,0
3,4,31.96,RPG,18000,Sore,0,19,0
4,5,23.57,Casual,61000,Sore,1,4,0
5,6,1.78,FPS,97000,Siang,1,1,0
6,7,41.37,RPG,70000,Malam,1,7,1
7,8,16.27,Casual,77000,Siang,0,4,1
8,9,46.73,MOBA,43000,Malam,1,20,1
9,10,34.66,Casual,9000,Subuh,0,22,0
10,11,35.62,FPS,32000,Malam,1,19,1
11,12,1.92,FPS,78000,Malam,1,2,0
12,13,42.97,RPG,78000,Siang,0,13,0
13,14,51.15,Casual,36000,Subuh,1,12,0
14,15,34.11,RPG,16000,Subuh,1,18,1
15,16,31.84,RPG,16000,Malam,0,11,1
16,17,34.23,Casual,91000,Subuh,0,8,1
17,18,36.33,RPG,20000,Subuh,1,10,1
18,19,13.89,Casual,90000,Sore,0,3,1
19,20,54.5,FPS,27000,Pagi,1,13,1
20,21,10.71,RPG,45000,Sore,0,3,0
21,22,10.93,Casual,54000,Pagi,0,0,0
22,23,15.57,RPG,52000,Malam,0,0,0
23,24,58.62,Casual,10000,Subuh,0,5,0
24,25,9.55,Casual,48000,Malam,0,2,0
25,26,48.39,FPS,65000,Sore,1,20,1
26,27,19.93,MOBA,71000,Sore,1,2,0
27,28,42.96,RPG,27000,Malam,0,5,0
28,29,31.55,Casual,18000,Malam,1,22,0
29,30,52.76,RPG,27000,Sore,1,24,0
30,31,15.27,Casual,97000,Subuh,1,2,0
31,32,17.45,RPG,74000,Subuh,1,0,1
32,33,5.96,Casual,80000,Malam,0,0,1
33,34,1.3,Casual,34000,Siang,0,4,0
34,35,43.02,FPS,52000,Malam,1,12,1
35,36,39.8,FPS,57000,Sore,1,18,1
36,37,58.75,RPG,90000,Malam,1,5,1
37,38,30.06,FPS,27000,Sore,1,21,0
38,39,59.68,MOBA,96000,Subuh,1,13,1
39,40,20.51,MOBA,97000,Sore,1,3,0
40,41,23.72,RPG,31000,Malam,0,1,1
41,42,42.07,Casual,12000,Siang,0,6,0
42,43,18.42,MOBA,75000,Pagi,0,4,0
43,44,25.77,MOBA,87000,Subuh,0,0,0
44,45,12.46,Casual,72000,Malam,1,3,1
45,46,26.87,RPG,8000,Malam,0,4,1
46,47,51.76,FPS,9000,Sore,0,5,0
47,48,17.02,Casual,64000,Malam,1,3,0
48,49,42.27,Casual,74000,Subuh,1,14,1
49,50,47.92,RPG,46000,Subuh,0,13,1
50,51,4.43,MOBA,20000,Siang,1,0,0
51,52,17.52,Casual,54000,Subuh,0,2,0
52,53,22.0,FPS,16000,Subuh,0,4,0
53,54,19.37,MOBA,72000,Malam,0,1,0
54,55,28.93,FPS,49000,Subuh,1,1,0
55,56,53.31,Casual,41000,Siang,1,5,0
56,57,41.35,Casual,12000,Siang,0,24,0
57,58,23.9,Casual,17000,Subuh,0,4,0
58,59,49.41,Casual,91000,Malam,0,16,0
59,60,2.08,RPG,64000,Malam,0,4,1
60,61,2.37,MOBA,30000,Malam,1,1,0
61,62,52.77,Casual,45000,Subuh,0,14,0
62,63,34.54,RPG,99000,Malam,0,11,1
63,64,52.16,Casual,87000,Pagi,0,7,0
64,65,54.25,MOBA,52000,Pagi,1,23,1
65,66,1.64,FPS,85000,Pagi,1,3,0
66,67,38.28,FPS,14000,Malam,1,8,1
67,68,47.1,RPG,14000,Malam,0,9,1
68,69,33.21,RPG,16000,Siang,1,16,0
69,70,50.47,MOBA,72000,Siang,1,6,0
70,71,6.01,RPG,60000,Subuh,1,0,1
71,72,59.17,Casual,38000,Malam,0,16,0
72,73,26.03,MOBA,36000,Sore,1,1,0
73,74,4.32,Casual,78000,Pagi,1,2,1
74,75,57.77,RPG,50000,Siang,0,10,0
75,76,58.7,FPS,9000,Subuh,0,15,0
76,77,15.93,RPG,97000,Malam,0,0,1
77,78,35.47,Casual,75000,Sore,0,20,1
78,79,27.88,Casual,37000,Siang,0,1,0
79,80,14.53,Casual,12000,Pagi,0,2,0
80,81,32.63,FPS,44000,Subuh,1,17,0
81,82,49.53,MOBA,45000,Subuh,1,6,0
82,83,52.72,RPG,9000,Pagi,0,5,0
83,84,59.13,RPG,61000,Malam,1,21,1
84,85,28.65,RPG,18000,Pagi,0,3,0
85,86,59.98,MOBA,92000,Subuh,1,14,1
86,87,15.59,MOBA,24000,Pagi,1,4,0
87,88,52.82,Casual,64000,Malam,0,11,0
88,89,31.7,MOBA,84000,Siang,1,16,0
89,90,52.72,FPS,61000,Subuh,1,6,1
90,91,54.29,Casual,6000,Siang,0,19,0
91,92,54.35,Casual,57000,Pagi,1,14,0
92,93,57.02,Casual,49000,Pagi,0,24,0
93,94,58.82,FPS,38000,Sore,1,15,0
94,95,8.6,RPG,61000,Malam,0,3,0
95,96,21.39,RPG,88000,Malam,1,4,0
96,97,3.41,FPS,38000,Siang,0,4,0
97,98,32.53,Casual,25000,Siang,0,17,0
98,99,6.45,RPG,65000,Siang,1,4,0
99,100,52.23,Casual,76000,Subuh,1,19,1
100,101,29.59,MOBA,77000,Siang,1,2,0
101,102,43.09,RPG,85000,Subuh,0,22,0
102,103,32.42,RPG,15000,Subuh,0,11,0
103,104,13.48,MOBA,56000,Pagi,1,3,0
104,105,21.95,FPS,52000,Malam,1,1,0
105,106,35.61,Casual,17000,Pagi,0,24,0
106,107,34.68,Casual,52000,Subuh,1,10,0
107,108,29.78,MOBA,23000,Pagi,0,2,0
108,109,42.12,Casual,16000,Siang,0,15,0
